run,dclm_baseline,dolma3_dolmino_mix_code,dolma3_dolmino_mix_math,finemath,finepdfs,finepdfs_edu,finephrase,hplt4_ab,hplt4_cc,hplt4_ia,megamath,nemotron_cc:high,nemotron_cc:medium,nemotron_cc:medium_high,nemotron_pretraining_v1,nemotron_pretraining_v1_1,olmo_mix_arxiv,olmo_mix_pes2o,olmo_mix_wiki,open_web_math,starcoder,swallow_code_2_0,the_stack,the_stack_v2,the_stackv2_edu
nested-swarm-0000,0.0057,0.0,0.0,0.1212,0.6518,0.0,0.0015,0.0001,0.0,0.0,0.0912,0.0,0.0,0.0,0.0,0.0032,0.0011,0.0079,0.0,0.0,0.0,0.1163,0.0,0.0,0.0
nested-swarm-0001,0.9826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0069,0.0002,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0003,0.0004,0.0,0.0,0.0326,0.0,0.0576,0.0,0.0,0.8712,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0
nested-swarm-0004,0.665,0.0,0.0,0.0,0.0,0.0118,0.0,0.0,0.0,0.0003,0.2242,0.0,0.0,0.0,0.0005,0.0,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0755,0.0
nested-swarm-0005,0.044196,0.0002,0.0,0.084392,0.0,0.0,0.0,0.448755,0.026797,0.0,0.021498,0.0,0.0,0.0,0.021798,0.0,0.055394,0.075192,0.0001,0.0,0.140786,0.0,0.0,0.080892,0.0
nested-swarm-0006,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.9965,0.0
nested-swarm-0007,0.0024,0.0,0.0,0.0002,0.034503,0.0,0.0,0.0,0.085309,0.0,0.0002,0.0,0.0,0.036204,0.0026,0.0011,0.0,0.0011,0.705871,0.0,0.0,0.0004,0.0,0.130113,0.0
nested-swarm-0008,0.2212,0.0,0.0,0.1592,0.0,0.0554,0.0,0.1414,0.1307,0.0266,0.0881,0.0,0.0,0.0,0.0032,0.0,0.0071,0.0046,0.1409,0.0,0.0,0.0,0.0008,0.0,0.0208
nested-swarm-0009,0.163084,0.0,0.0,0.429757,0.0,0.0,0.0,0.0008,0.184182,0.0,0.050195,0.0,0.0,0.0,0.049095,0.039596,0.0047,0.0042,0.053795,0.0,0.0,0.007599,0.0,0.0036,0.009399
nested-swarm-0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20118,0.0,0.0,0.79782,0.001,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0012,0.0076,0.0,0.0,0.2363,0.0,0.0,0.0,0.0,0.0074,0.0,0.0001,0.0,0.0,0.0,0.4395,0.0,0.1753,0.1327,0.0,0.0,0.0,0.0,0.0,0.0011,0.0
nested-swarm-0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0014,0.0523,0.0039,0.0,0.0,0.0,0.8839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0008,0.0,0.007,0.0,0.0,0.0515,0.0,0.0,0.0
nested-swarm-0015,0.158784,0.0,0.0001,0.016498,0.0,0.058994,0.0,0.0,0.0005,0.0028,0.071093,0.0,0.0008,0.0,0.005,0.550745,0.013799,0.005499,0.0,0.0,0.0,0.110989,0.0,0.0,0.0044
nested-swarm-0016,0.390783,0.001799,0.0,0.008797,0.0,0.031591,0.0007,0.0,0.035289,0.126562,0.056883,0.0,0.0,0.0,0.062681,0.0011,0.0016,0.078476,0.0003,0.0,0.0,0.0,0.0,0.203439,0.0
nested-swarm-0017,0.374,0.0,0.0,0.1074,0.0,0.0,0.0,0.0,0.0035,0.0,0.0035,0.0,0.0,0.0,0.0,0.5116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.7474,0.0,0.2415,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0
nested-swarm-0019,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0020,0.0011,0.0,0.0,0.0562,0.0,0.0,0.0,0.0,0.0,0.3992,0.0,0.0,0.0,0.0,0.5433,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0021,0.591059,0.0001,0.0,0.030403,0.019902,0.0005,0.0,0.0034,0.309531,0.0,0.019102,0.0,0.0,0.0,0.0028,0.014301,0.008401,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0003
nested-swarm-0022,0.715772,0.007901,0.0046,0.0,0.0,0.0,0.0,0.0,0.261526,0.0,0.0002,0.0,0.0,0.0,0.001,0.0004,0.0036,0.005001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329,0.0,0.0,0.0,0.0,0.6601,0.0,0.0
nested-swarm-0024,0.0,0.0,0.0,0.0,0.9985,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0025,0.0,0.0,0.0,0.0284,0.0,0.0,0.0,0.0,0.9716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0026,0.0024,0.0,0.0,0.0983,0.0,0.0,0.0,0.0,0.8396,0.0,0.0,0.0,0.0,0.0,0.0,0.0597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0027,0.318664,0.0,0.0,0.0011,0.0,0.378776,0.0,0.009402,0.047009,0.0009,0.244149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0028,0.0,0.0,0.0,0.0,0.0,0.9938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0051,0.2272,0.0,0.0,0.0,0.0,0.0,0.7673
